instance_id,repo,resolved,failure_mode
django__django-13925,django/django,True,
django__django-13933,django/django,True,
django__django-13964,django/django,True,
django__django-14007,django/django,True,
django__django-14011,django/django,False,WRONG_FIX
django__django-14017,django/django,True,
django__django-14034,django/django,False,WRONG_FIX
django__django-14053,django/django,True,
django__django-14089,django/django,True,
django__django-14122,django/django,True,
django__django-14140,django/django,False,WRONG_FIX
django__django-14155,django/django,False,WRONG_FIX
django__django-14170,django/django,False,REGRESSION
django__django-14238,django/django,True,
django__django-14311,django/django,True,
django__django-14315,django/django,False,WRONG_FIX
django__django-14349,django/django,True,
django__django-14351,django/django,True,
django__django-14373,django/django,True,
django__django-14376,django/django,False,WRONG_FIX
django__django-14404,django/django,True,
django__django-14434,django/django,True,
django__django-14493,django/django,True,
django__django-14500,django/django,True,
django__django-14534,django/django,False,WRONG_FIX
django__django-14539,django/django,True,
django__django-14559,django/django,True,
django__django-14580,django/django,True,
django__django-14608,django/django,True,
django__django-14631,django/django,True,
django__django-14672,django/django,True,
django__django-14725,django/django,False,WRONG_FIX
django__django-14752,django/django,True,
django__django-14765,django/django,True,
django__django-14771,django/django,True,
django__django-14787,django/django,True,
django__django-14792,django/django,False,WRONG_FIX
django__django-14855,django/django,True,
django__django-14915,django/django,True,
django__django-14999,django/django,True,
django__django-15022,django/django,False,WRONG_FIX
django__django-15037,django/django,False,WRONG_FIX
django__django-15098,django/django,False,WRONG_FIX
django__django-15103,django/django,True,
django__django-15104,django/django,True,
django__django-15127,django/django,False,WRONG_FIX
django__django-15128,django/django,True,
django__django-15161,django/django,True,
django__django-15252,django/django,False,WRONG_FIX
django__django-15268,django/django,True,
django__django-15277,django/django,True,
django__django-15278,django/django,True,
django__django-15280,django/django,True,
django__django-15315,django/django,True,
django__django-15368,django/django,True,
django__django-15375,django/django,True,
django__django-15380,django/django,True,
django__django-15382,django/django,True,
django__django-15467,django/django,True,
django__django-15499,django/django,True,
django__django-15503,django/django,True,
django__django-15525,django/django,True,
django__django-15554,django/django,True,
django__django-15561,django/django,False,WRONG_FIX
django__django-15563,django/django,True,
django__django-15569,django/django,True,
django__django-15572,django/django,True,
django__django-15629,django/django,False,REGRESSION
django__django-15695,django/django,False,WRONG_FIX
django__django-15731,django/django,True,
django__django-15732,django/django,True,
django__django-15741,django/django,True,
django__django-15814,django/django,True,
django__django-15851,django/django,True,
django__django-15863,django/django,True,
django__django-15916,django/django,True,
django__django-15930,django/django,True,
django__django-15957,django/django,True,
django__django-15973,django/django,False,WRONG_FIX
django__django-15987,django/django,True,
django__django-16032,django/django,True,
django__django-16082,django/django,True,
django__django-16100,django/django,True,
django__django-16116,django/django,True,
django__django-16136,django/django,True,
django__django-16139,django/django,True,
django__django-16145,django/django,True,
django__django-16255,django/django,True,
django__django-16256,django/django,False,WRONG_FIX
django__django-16263,django/django,False,WRONG_FIX
django__django-16315,django/django,True,
django__django-16333,django/django,True,
django__django-16429,django/django,True,
django__django-16454,django/django,False,REGRESSION
django__django-16485,django/django,True,
django__django-16493,django/django,True,
django__django-16502,django/django,False,WRONG_FIX
django__django-16527,django/django,True,
django__django-16560,django/django,False,REGRESSION
django__django-16569,django/django,True,
django__django-16595,django/django,True,
django__django-16612,django/django,True,
django__django-16631,django/django,False,WRONG_FIX
django__django-16642,django/django,True,
django__django-16661,django/django,True,
django__django-16662,django/django,True,
django__django-16667,django/django,False,WRONG_FIX
django__django-16801,django/django,True,
django__django-16819,django/django,True,
django__django-16877,django/django,False,WRONG_FIX
django__django-16899,django/django,True,
django__django-16901,django/django,True,
django__django-16938,django/django,True,
django__django-16950,django/django,True,
django__django-17029,django/django,True,
django__django-17084,django/django,True,
django__django-17087,django/django,True,
django__django-7530,django/django,False,MISSING_ARTEFACT
django__django-9296,django/django,True,
matplotlib__matplotlib-13989,matplotlib/matplotlib,True,
matplotlib__matplotlib-14623,matplotlib/matplotlib,True,
matplotlib__matplotlib-20488,matplotlib/matplotlib,True,
matplotlib__matplotlib-20676,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-20826,matplotlib/matplotlib,True,
matplotlib__matplotlib-20859,matplotlib/matplotlib,True,
matplotlib__matplotlib-21568,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-22719,matplotlib/matplotlib,True,
matplotlib__matplotlib-22865,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-22871,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-23299,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-23314,matplotlib/matplotlib,True,
matplotlib__matplotlib-23412,matplotlib/matplotlib,True,
matplotlib__matplotlib-23476,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-24026,matplotlib/matplotlib,True,
matplotlib__matplotlib-24149,matplotlib/matplotlib,True,
matplotlib__matplotlib-24177,matplotlib/matplotlib,True,
matplotlib__matplotlib-24570,matplotlib/matplotlib,True,
matplotlib__matplotlib-24627,matplotlib/matplotlib,True,
matplotlib__matplotlib-24637,matplotlib/matplotlib,True,
matplotlib__matplotlib-24870,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-24970,matplotlib/matplotlib,True,
matplotlib__matplotlib-25122,matplotlib/matplotlib,True,
matplotlib__matplotlib-25287,matplotlib/matplotlib,True,
matplotlib__matplotlib-25311,matplotlib/matplotlib,True,
matplotlib__matplotlib-25332,matplotlib/matplotlib,True,
matplotlib__matplotlib-25479,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-25775,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-25960,matplotlib/matplotlib,True,
matplotlib__matplotlib-26113,matplotlib/matplotlib,True,
matplotlib__matplotlib-26208,matplotlib/matplotlib,False,WRONG_FIX
matplotlib__matplotlib-26291,matplotlib/matplotlib,True,
matplotlib__matplotlib-26342,matplotlib/matplotlib,True,
matplotlib__matplotlib-26466,matplotlib/matplotlib,False,WRONG_FIX
mwaskom__seaborn-3069,mwaskom/seaborn,True,
mwaskom__seaborn-3187,mwaskom/seaborn,False,WRONG_FIX
pallets__flask-5014,pallets/flask,True,
psf__requests-1142,psf/requests,True,
psf__requests-1724,psf/requests,True,
psf__requests-1766,psf/requests,True,
psf__requests-1921,psf/requests,True,
psf__requests-2317,psf/requests,True,
psf__requests-2931,psf/requests,True,
psf__requests-5414,psf/requests,True,
psf__requests-6028,psf/requests,True,
pydata__xarray-2905,pydata/xarray,True,
pydata__xarray-3095,pydata/xarray,True,
pydata__xarray-3151,pydata/xarray,True,
pydata__xarray-3305,pydata/xarray,True,
pydata__xarray-3677,pydata/xarray,True,
pydata__xarray-3993,pydata/xarray,True,
pydata__xarray-4075,pydata/xarray,True,
pydata__xarray-4094,pydata/xarray,True,
pydata__xarray-4356,pydata/xarray,True,
pydata__xarray-4629,pydata/xarray,True,
pydata__xarray-4687,pydata/xarray,False,WRONG_FIX
pydata__xarray-4695,pydata/xarray,True,
pydata__xarray-4966,pydata/xarray,True,
pydata__xarray-6461,pydata/xarray,True,
pydata__xarray-6599,pydata/xarray,False,WRONG_FIX
pydata__xarray-6721,pydata/xarray,True,
pydata__xarray-6744,pydata/xarray,True,
pydata__xarray-6938,pydata/xarray,True,
pydata__xarray-6992,pydata/xarray,False,WRONG_FIX
pydata__xarray-7229,pydata/xarray,False,WRONG_FIX
pydata__xarray-7233,pydata/xarray,True,
pydata__xarray-7393,pydata/xarray,True,
pylint-dev__pylint-4551,pylint-dev/pylint,False,WRONG_FIX
pylint-dev__pylint-4604,pylint-dev/pylint,False,WRONG_FIX
pylint-dev__pylint-4661,pylint-dev/pylint,False,WRONG_FIX
pylint-dev__pylint-4970,pylint-dev/pylint,False,WRONG_FIX
pylint-dev__pylint-6386,pylint-dev/pylint,True,
pylint-dev__pylint-6528,pylint-dev/pylint,False,WRONG_FIX
pylint-dev__pylint-6903,pylint-dev/pylint,True,
pylint-dev__pylint-7080,pylint-dev/pylint,True,
pylint-dev__pylint-7277,pylint-dev/pylint,False,WRONG_FIX
pylint-dev__pylint-8898,pylint-dev/pylint,False,MISSING_ARTEFACT
pytest-dev__pytest-10051,pytest-dev/pytest,True,
pytest-dev__pytest-10081,pytest-dev/pytest,True,
pytest-dev__pytest-10356,pytest-dev/pytest,False,WRONG_FIX
pytest-dev__pytest-5262,pytest-dev/pytest,True,
pytest-dev__pytest-5631,pytest-dev/pytest,True,
pytest-dev__pytest-5787,pytest-dev/pytest,True,
pytest-dev__pytest-5809,pytest-dev/pytest,True,
pytest-dev__pytest-5840,pytest-dev/pytest,False,WRONG_FIX
pytest-dev__pytest-6197,pytest-dev/pytest,True,
pytest-dev__pytest-6202,pytest-dev/pytest,True,
pytest-dev__pytest-7205,pytest-dev/pytest,False,WRONG_FIX
pytest-dev__pytest-7236,pytest-dev/pytest,True,
pytest-dev__pytest-7324,pytest-dev/pytest,True,
pytest-dev__pytest-7432,pytest-dev/pytest,True,
pytest-dev__pytest-7490,pytest-dev/pytest,True,
pytest-dev__pytest-7521,pytest-dev/pytest,True,
pytest-dev__pytest-7571,pytest-dev/pytest,True,
pytest-dev__pytest-7982,pytest-dev/pytest,True,
pytest-dev__pytest-8399,pytest-dev/pytest,True,
scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-10908,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-11310,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-12585,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-12682,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-12973,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,False,REGRESSION
scikit-learn__scikit-learn-13135,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-13328,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-13779,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-14053,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-14141,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-14496,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-14629,scikit-learn/scikit-learn,False,WRONG_FIX
scikit-learn__scikit-learn-14710,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,False,WRONG_FIX
scikit-learn__scikit-learn-15100,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-25102,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,False,WRONG_FIX
scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,False,WRONG_FIX
scikit-learn__scikit-learn-26323,scikit-learn/scikit-learn,True,
scikit-learn__scikit-learn-9288,scikit-learn/scikit-learn,True,
sphinx-doc__sphinx-10323,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-10435,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-10449,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-10466,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-10614,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-10673,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-11445,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-11510,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-7440,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-7454,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-7462,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-7590,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-7748,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-7757,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-7889,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-7910,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-7985,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-8035,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8056,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8120,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8265,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8269,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8459,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8475,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8548,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-8551,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8593,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8595,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-8621,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-8638,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9229,sphinx-doc/sphinx,False,MISSING_ARTEFACT
sphinx-doc__sphinx-9230,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9258,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9281,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9320,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9367,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9461,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-9591,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9602,sphinx-doc/sphinx,False,WRONG_FIX
sphinx-doc__sphinx-9658,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9673,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9698,sphinx-doc/sphinx,True,
sphinx-doc__sphinx-9711,sphinx-doc/sphinx,True,
sympy__sympy-11618,sympy/sympy,True,
sympy__sympy-12096,sympy/sympy,True,
sympy__sympy-12419,sympy/sympy,True,
sympy__sympy-12481,sympy/sympy,True,
sympy__sympy-12489,sympy/sympy,True,
sympy__sympy-13031,sympy/sympy,True,
sympy__sympy-13091,sympy/sympy,True,
sympy__sympy-13372,sympy/sympy,True,
sympy__sympy-13480,sympy/sympy,True,
sympy__sympy-13551,sympy/sympy,True,
sympy__sympy-13615,sympy/sympy,True,
sympy__sympy-13647,sympy/sympy,True,
sympy__sympy-13757,sympy/sympy,True,
sympy__sympy-13798,sympy/sympy,False,WRONG_FIX
sympy__sympy-13852,sympy/sympy,False,WRONG_FIX
sympy__sympy-13877,sympy/sympy,True,
sympy__sympy-13878,sympy/sympy,True,
sympy__sympy-13974,sympy/sympy,True,
sympy__sympy-14248,sympy/sympy,False,WRONG_FIX
sympy__sympy-14531,sympy/sympy,True,
sympy__sympy-14711,sympy/sympy,True,
sympy__sympy-14976,sympy/sympy,False,WRONG_FIX
sympy__sympy-15017,sympy/sympy,True,
sympy__sympy-15345,sympy/sympy,True,
sympy__sympy-15349,sympy/sympy,True,
sympy__sympy-15599,sympy/sympy,True,
sympy__sympy-15809,sympy/sympy,True,
sympy__sympy-15875,sympy/sympy,False,WRONG_FIX
sympy__sympy-15976,sympy/sympy,False,WRONG_FIX
sympy__sympy-16450,sympy/sympy,True,
sympy__sympy-16597,sympy/sympy,False,WRONG_FIX
sympy__sympy-16766,sympy/sympy,True,
sympy__sympy-16792,sympy/sympy,True,
sympy__sympy-16886,sympy/sympy,True,
sympy__sympy-17139,sympy/sympy,True,
sympy__sympy-17318,sympy/sympy,False,WRONG_FIX
sympy__sympy-17630,sympy/sympy,True,
sympy__sympy-17655,sympy/sympy,True,
sympy__sympy-18189,sympy/sympy,True,
sympy__sympy-18199,sympy/sympy,False,WRONG_FIX
sympy__sympy-18211,sympy/sympy,True,
sympy__sympy-18698,sympy/sympy,False,WRONG_FIX
sympy__sympy-18763,sympy/sympy,False,WRONG_FIX
sympy__sympy-19040,sympy/sympy,True,
sympy__sympy-19346,sympy/sympy,True,
sympy__sympy-19495,sympy/sympy,True,
sympy__sympy-19637,sympy/sympy,True,
sympy__sympy-19783,sympy/sympy,True,
sympy__sympy-19954,sympy/sympy,True,
sympy__sympy-20154,sympy/sympy,True,
sympy__sympy-20428,sympy/sympy,False,WRONG_FIX
sympy__sympy-20438,sympy/sympy,False,WRONG_FIX
sympy__sympy-20590,sympy/sympy,True,
sympy__sympy-20801,sympy/sympy,True,
sympy__sympy-20916,sympy/sympy,False,WRONG_FIX
sympy__sympy-21379,sympy/sympy,True,
sympy__sympy-21596,sympy/sympy,False,WRONG_FIX
sympy__sympy-21612,sympy/sympy,True,
sympy__sympy-21847,sympy/sympy,True,
sympy__sympy-21930,sympy/sympy,False,WRONG_FIX
sympy__sympy-22080,sympy/sympy,False,WRONG_FIX
sympy__sympy-22456,sympy/sympy,True,
sympy__sympy-22714,sympy/sympy,True,
sympy__sympy-22914,sympy/sympy,True,
sympy__sympy-23262,sympy/sympy,True,
sympy__sympy-23413,sympy/sympy,False,WRONG_FIX
sympy__sympy-23534,sympy/sympy,True,
sympy__sympy-23824,sympy/sympy,True,
sympy__sympy-23950,sympy/sympy,True,
sympy__sympy-24066,sympy/sympy,True,
sympy__sympy-24213,sympy/sympy,True,
sympy__sympy-24443,sympy/sympy,True,
sympy__sympy-24539,sympy/sympy,True,
sympy__sympy-24562,sympy/sympy,True,
sympy__sympy-24661,sympy/sympy,True,
