instance_id,repo,kozuchi,qwen_consensus,frontier_consensus,api_calls,runtime_sec,patch_churn,phase_VERIFY_PATCH_giveup,FAIL_TO_PASS_failure,PASS_TO_PASS_failure
django__django-12419,django/django,1,3,7,366,2132.3957874774933,2,0,0,0
django__django-12663,django/django,1,1,4,646,3355.550711631775,13,0,1,0
django__django-12708,django/django,1,4,7,801,3893.028191804886,19,0,0,0
django__django-12713,django/django,1,4,7,410,2196.816457748413,15,0,0,0
django__django-12741,django/django,1,4,7,1098,5495.429093837738,12,7,0,0
django__django-12754,django/django,1,1,7,524,2286.506539344788,18,0,0,0
django__django-12774,django/django,1,1,7,598,2651.4915058612823,9,1,0,0
django__django-12858,django/django,1,3,7,1535,8613.462138414383,2,11,0,0
django__django-12965,django/django,1,1,7,490,2494.847279071808,3,0,0,0
django__django-13012,django/django,1,3,7,536,2732.112310171128,12,0,0,0
django__django-13023,django/django,1,3,6,416,2530.8979229927063,2,0,0,0
django__django-13028,django/django,1,3,7,491,2926.838111639023,2,0,0,0
django__django-13033,django/django,0,2,7,533,3516.3534893989563,2,0,1,1
django__django-13089,django/django,0,4,7,1522,8047.732096433639,2,10,0,0
django__django-13109,django/django,1,4,7,557,2618.479035615921,4,0,0,0
django__django-13112,django/django,1,0,7,491,2730.0755112171173,7,0,1,0
django__django-13121,django/django,1,1,7,588,2380.224484443665,2,0,0,0
django__django-13128,django/django,1,0,7,941,4615.269230127335,75,1,7,0
django__django-13158,django/django,1,2,7,466,2774.808413267136,2,0,0,0
django__django-13195,django/django,0,0,2,404,2647.5914676189423,9,0,1,1
django__django-13212,django/django,0,0,0,428,2908.7047481536865,37,0,2,0
django__django-13279,django/django,1,1,7,504,3619.006952047348,18,0,0,0
django__django-13297,django/django,1,3,7,440,2667.9714212417603,5,0,0,0
django__django-13315,django/django,1,2,7,546,2632.749738931656,4,0,0,0
django__django-13343,django/django,1,3,6,452,3926.844393491745,29,0,0,0
django__django-13344,django/django,0,0,3,1575,11603.202219963074,2,8,2,0
django__django-13346,django/django,1,1,7,837,4110.007474899292,75,2,0,0
django__django-13363,django/django,1,4,7,590,3433.526749134064,6,0,0,0
django__django-13401,django/django,1,3,7,438,2483.672014474869,9,0,1,0
django__django-13406,django/django,0,3,7,552,3481.508378267288,5,0,2,0
django__django-13410,django/django,1,4,7,379,2490.170038461685,14,0,0,0
django__django-13417,django/django,1,4,7,539,2896.332201719284,1,0,0,0
django__django-13449,django/django,1,3,7,464,2588.8408930301666,2,0,0,0
django__django-13512,django/django,1,4,3,398,2391.8020238876343,4,0,0,0
django__django-13513,django/django,0,0,0,0,0.0,0,0,0,0
django__django-13516,django/django,1,3,7,467,2494.424821615219,5,0,0,0
django__django-13551,django/django,0,3,7,384,2363.5629007816315,2,0,2,0
django__django-13568,django/django,1,2,6,450,2620.2720680236816,10,0,0,0
django__django-13569,django/django,1,2,7,542,2852.7324318885803,7,0,0,0
django__django-13590,django/django,1,2,7,629,3035.562767982483,9,0,0,0
django__django-13658,django/django,1,4,7,486,2872.9969458580017,2,0,0,0
django__django-13670,django/django,1,4,7,344,1949.0779266357424,2,0,0,0
django__django-13741,django/django,1,4,7,466,2370.036286354065,1,0,0,0
django__django-13786,django/django,1,4,7,487,2791.51677775383,26,0,0,0
django__django-13794,django/django,1,1,0,559,3307.83646440506,10,0,1,0
django__django-13807,django/django,0,0,7,456,2124.6788051128387,6,0,1,0
django__django-13809,django/django,1,4,7,392,1979.7342493534088,15,0,0,0
django__django-13810,django/django,1,4,7,972,7332.107339859009,3,4,0,0
django__django-13820,django/django,1,4,7,529,3050.057647705078,2,0,0,0
django__django-13821,django/django,1,4,7,434,2295.4074609279637,11,0,0,0
django__django-13837,django/django,1,4,7,370,3081.883389234543,11,0,0,0
django__django-13925,django/django,1,3,4,502,2539.1745245456696,4,0,0,0
django__django-13933,django/django,1,3,7,406,2409.24594950676,4,0,0,0
django__django-13964,django/django,1,1,6,528,2815.666729450226,2,0,0,0
django__django-14007,django/django,1,4,7,771,4678.749285936356,50,1,0,0
django__django-14011,django/django,0,0,0,605,3980.112317800522,4,0,17,0
django__django-14017,django/django,1,4,7,1018,4867.7569081783295,25,4,0,0
django__django-14034,django/django,0,0,0,465,2944.9075717926025,8,0,1,0
django__django-14053,django/django,1,4,4,440,2583.887118816376,3,0,0,0
django__django-14089,django/django,1,4,7,334,1938.438560009003,3,0,0,0
django__django-14122,django/django,1,1,7,542,3142.888068675995,4,0,0,0
django__django-14140,django/django,0,0,4,434,2683.732731342316,5,0,2,0
django__django-14155,django/django,0,0,0,410,2213.5066578388214,4,0,3,0
django__django-14170,django/django,0,0,1,1284,6499.153780221939,6,11,0,9
django__django-14238,django/django,1,4,7,404,2445.960210800171,2,0,0,0
django__django-14311,django/django,1,2,6,356,1746.1387839317322,5,0,0,0
django__django-14315,django/django,0,0,0,462,3460.2300951480865,22,0,2,0
django__django-14349,django/django,1,4,7,404,2133.923310756684,3,0,0,0
django__django-14351,django/django,1,4,7,604,4769.094785690308,5,0,0,0
django__django-14373,django/django,1,4,7,310,1718.8929088115692,2,0,0,0
django__django-14376,django/django,0,1,6,490,2463.809053659439,4,0,3,0
django__django-14404,django/django,1,0,5,468,2456.829792022705,2,0,0,0
django__django-14434,django/django,1,4,6,557,3047.0236673355103,5,0,0,0
django__django-14493,django/django,1,3,7,422,2034.955343723297,1,0,0,0
django__django-14500,django/django,1,2,7,612,3338.725523948669,3,0,1,0
django__django-14534,django/django,0,1,5,552,3271.4752867221832,2,0,0,0
django__django-14539,django/django,1,3,7,695,4906.555155038834,57,0,0,0
django__django-14559,django/django,1,3,7,442,2370.9304478168488,6,0,0,0
django__django-14580,django/django,1,2,7,973,5373.582623720169,34,4,0,0
django__django-14608,django/django,1,3,7,1099,6229.001329898834,6,6,0,0
django__django-14631,django/django,1,0,6,520,2890.8556509017944,4,0,0,0
django__django-14672,django/django,1,4,7,682,4967.507083177567,18,2,0,0
django__django-14725,django/django,0,0,4,544,3021.626983642578,11,0,3,0
django__django-14752,django/django,1,4,7,425,2334.457077026367,5,0,0,0
django__django-14765,django/django,1,4,7,438,2058.7909123897552,3,0,0,0
django__django-14771,django/django,1,3,7,384,1856.310267686844,1,0,1,0
django__django-14787,django/django,1,4,7,501,2868.393694162369,11,0,0,0
django__django-14792,django/django,0,1,0,533,3499.2226078510284,10,0,2,0
django__django-14855,django/django,1,4,7,554,3282.9767100811005,2,0,0,0
django__django-14915,django/django,1,4,7,370,1739.6683378219604,3,0,0,0
django__django-14999,django/django,1,3,7,438,2820.6146070957184,2,0,0,0
django__django-15022,django/django,0,2,5,1394,11841.611072063446,58,0,1,0
django__django-15037,django/django,0,1,6,601,3255.773579120636,9,0,1,0
django__django-15098,django/django,0,0,1,909,5499.471349000931,40,1,2,0
django__django-15103,django/django,1,4,7,366,2012.448877096176,13,0,0,0
django__django-15104,django/django,1,4,7,433,2257.522349834442,2,0,0,0
django__django-15127,django/django,0,1,4,428,2120.0528802871704,2,0,1,0
django__django-15128,django/django,1,2,7,673,4306.74767947197,109,0,0,0
django__django-15161,django/django,1,2,7,639,3409.4706587791443,29,0,1,0
django__django-15252,django/django,0,0,0,1570,15762.290305614471,15,5,2,0
django__django-15268,django/django,1,2,7,1058,7462.715473651886,37,2,0,0
django__django-15277,django/django,1,4,7,437,3165.6330971717834,3,0,2,0
django__django-15278,django/django,1,4,7,546,3339.7663521766663,2,0,0,0
django__django-15280,django/django,1,0,4,701,5544.565700054169,6,0,0,0
django__django-15315,django/django,1,4,7,453,2257.035894393921,6,0,0,0
django__django-15368,django/django,1,4,7,498,2728.411324262619,2,0,0,0
django__django-15375,django/django,1,1,7,473,2516.930972099304,4,0,0,0
django__django-15380,django/django,1,4,7,502,2841.6088120937347,2,0,0,0
django__django-15382,django/django,1,3,7,778,4342.815415143967,25,2,0,0
django__django-15467,django/django,1,4,7,538,2975.888460874557,5,0,0,0
django__django-15499,django/django,1,4,7,456,2655.923278093338,13,0,0,0
django__django-15503,django/django,1,1,5,699,5044.313575267792,29,1,2,0
django__django-15525,django/django,1,3,7,709,5288.264789581299,10,0,0,0
django__django-15554,django/django,1,0,3,671,4214.866880893707,15,0,0,0
django__django-15561,django/django,0,4,7,1598,10688.384111881256,51,8,0,0
django__django-15563,django/django,1,0,1,1203,9034.853979587557,120,1,0,0
django__django-15569,django/django,1,4,7,553,3063.9190208911896,21,0,0,0
django__django-15572,django/django,1,4,7,489,3000.980276107788,4,0,0,0
django__django-15629,django/django,0,0,0,1620,9078.744645118712,105,2,0,1
django__django-15695,django/django,0,0,4,487,2460.272584438324,2,0,1,0
django__django-15731,django/django,1,4,7,586,3510.9266624450684,4,1,0,0
django__django-15732,django/django,1,0,2,486,2722.62123298645,9,0,0,0
django__django-15741,django/django,1,4,7,468,2745.2836620807648,1,0,0,0
django__django-15814,django/django,1,3,7,526,2438.426542520523,1,0,0,0
django__django-15851,django/django,1,4,7,415,2360.663391828537,4,1,0,0
django__django-15863,django/django,1,3,7,422,2105.971546649933,2,0,0,0
django__django-15916,django/django,1,1,4,601,3573.023533821106,13,0,1,0
django__django-15930,django/django,1,2,7,530,2624.9982163906097,2,0,0,0
django__django-15957,django/django,1,0,3,687,5108.901606798172,34,0,0,0
django__django-15973,django/django,0,0,1,676,3930.645843029022,4,0,1,0
django__django-15987,django/django,1,0,7,386,2351.517155647278,1,0,0,0
django__django-16032,django/django,1,1,7,584,4046.5674839019775,2,0,0,0
django__django-16082,django/django,1,4,7,480,2369.621779680252,2,0,0,0
django__django-16100,django/django,1,4,7,525,2703.4992718696594,19,0,1,0
django__django-16116,django/django,1,4,7,619,3472.814889192581,4,0,0,0
django__django-16136,django/django,1,3,7,380,1931.8183414936063,8,0,0,0
django__django-16139,django/django,1,4,7,545,2872.1170670986176,2,0,0,0
django__django-16145,django/django,1,4,7,394,2628.1778180599213,8,0,0,0
django__django-16255,django/django,1,4,7,404,2298.939126968384,2,0,0,0
django__django-16256,django/django,0,0,1,1120,8134.791561365128,45,3,3,0
django__django-16263,django/django,0,0,0,804,4493.847031593323,160,0,1,0
django__django-16315,django/django,1,1,7,454,2772.7121398448944,22,0,0,0
django__django-16333,django/django,1,4,7,576,3684.372430086136,1,0,0,0
django__django-16429,django/django,1,4,7,342,2032.683659076691,1,0,0,0
django__django-16454,django/django,0,1,6,639,3207.3049762248997,36,0,0,1
django__django-16485,django/django,1,4,7,364,2096.8752048015594,2,0,0,0
django__django-16493,django/django,1,4,7,448,2157.7793810367584,2,0,0,0
django__django-16502,django/django,0,0,0,434,2371.9347734451294,27,0,1,1
django__django-16527,django/django,1,4,7,605,3165.8527483940125,180,0,0,0
django__django-16560,django/django,0,2,5,524,3062.315236568451,36,0,0,1
django__django-16569,django/django,1,4,7,422,2303.9543499946594,2,0,0,0
django__django-16595,django/django,1,4,7,418,2242.17209982872,2,0,0,0
django__django-16612,django/django,1,4,7,554,3044.440670013428,2,0,0,0
django__django-16631,django/django,0,0,0,968,5413.233339071274,13,2,1,0
django__django-16642,django/django,1,1,5,372,2136.0704505443573,2,0,0,0
django__django-16661,django/django,1,3,7,935,6370.363254547119,4,0,0,0
django__django-16662,django/django,1,4,7,573,3149.7654259204865,2,1,0,0
django__django-16667,django/django,0,0,0,390,2381.6856894493103,2,0,1,0
django__django-16801,django/django,1,3,7,416,2280.9700334072118,4,0,0,0
django__django-16819,django/django,1,4,7,456,2570.447683095932,60,0,0,0
django__django-16877,django/django,0,2,5,400,2201.558653116226,7,0,2,0
django__django-16899,django/django,1,2,7,468,2319.43759393692,5,0,0,0
django__django-16901,django/django,1,4,7,444,2318.894680976868,3,0,0,0
django__django-16938,django/django,1,0,6,1209,6155.903942584992,28,1,5,0
django__django-16950,django/django,1,0,0,691,4433.084944725037,3,1,0,1
django__django-17029,django/django,1,4,7,404,2143.319116830826,1,0,0,0
django__django-17084,django/django,1,2,7,652,3473.7839274406438,4,0,0,0
django__django-17087,django/django,1,4,7,532,3314.0685744285583,2,0,0,0
django__django-7530,django/django,0,2,7,0,0.0,0,0,0,0
django__django-9296,django/django,1,4,7,457,2764.003671169281,4,1,0,0
matplotlib__matplotlib-13989,matplotlib/matplotlib,1,4,7,457,2830.288101911545,8,0,0,0
matplotlib__matplotlib-14623,matplotlib/matplotlib,1,3,7,461,2567.044849395752,2,0,0,0
matplotlib__matplotlib-20488,matplotlib/matplotlib,1,2,6,804,4006.678734779358,27,2,0,0
matplotlib__matplotlib-20676,matplotlib/matplotlib,0,0,0,710,4023.736357450485,6,4,2,0
matplotlib__matplotlib-20826,matplotlib/matplotlib,1,0,5,523,3279.274738550186,24,0,0,12
matplotlib__matplotlib-20859,matplotlib/matplotlib,1,4,7,465,2571.2991309165955,9,0,0,0
matplotlib__matplotlib-21568,matplotlib/matplotlib,0,0,0,436,2408.5448820590973,17,0,4,31
matplotlib__matplotlib-22719,matplotlib/matplotlib,1,4,7,326,2106.514370203018,2,0,0,0
matplotlib__matplotlib-22865,matplotlib/matplotlib,0,1,7,468,3259.7998929023743,30,0,2,0
matplotlib__matplotlib-22871,matplotlib/matplotlib,0,2,7,488,3124.5739645957947,2,0,1,37
matplotlib__matplotlib-23299,matplotlib/matplotlib,0,0,0,698,3781.822145462036,22,0,1,0
matplotlib__matplotlib-23314,matplotlib/matplotlib,1,4,7,487,2668.9757912158966,9,0,0,12
matplotlib__matplotlib-23412,matplotlib/matplotlib,1,4,7,680,3949.981769561768,5,2,0,0
matplotlib__matplotlib-23476,matplotlib/matplotlib,0,0,0,518,2623.174374818802,7,0,1,0
matplotlib__matplotlib-24026,matplotlib/matplotlib,1,2,7,392,1935.3859264850616,9,0,0,12
matplotlib__matplotlib-24149,matplotlib/matplotlib,1,4,7,390,2359.9196610450745,4,0,0,12
matplotlib__matplotlib-24177,matplotlib/matplotlib,1,0,6,779,4452.042951822281,9,1,0,12
matplotlib__matplotlib-24570,matplotlib/matplotlib,1,1,6,677,3658.676394939423,4,3,0,0
matplotlib__matplotlib-24627,matplotlib/matplotlib,1,3,7,526,2760.0640604496,19,0,0,13
matplotlib__matplotlib-24637,matplotlib/matplotlib,1,3,7,753,4515.190390110016,15,2,0,0
matplotlib__matplotlib-24870,matplotlib/matplotlib,0,0,2,464,3223.740460634232,19,0,1,1
matplotlib__matplotlib-24970,matplotlib/matplotlib,1,4,7,380,2592.59738945961,2,0,0,0
matplotlib__matplotlib-25122,matplotlib/matplotlib,1,4,7,1658,9083.606595993042,6,12,0,0
matplotlib__matplotlib-25287,matplotlib/matplotlib,1,4,7,374,1807.504653930664,4,0,0,13
matplotlib__matplotlib-25311,matplotlib/matplotlib,1,4,7,923,6590.606040477753,32,0,0,0
matplotlib__matplotlib-25332,matplotlib/matplotlib,1,2,6,624,4327.242045640945,44,0,1,0
matplotlib__matplotlib-25479,matplotlib/matplotlib,0,0,0,500,2746.360359430313,13,0,2,0
matplotlib__matplotlib-25775,matplotlib/matplotlib,0,0,4,632,3567.448028802872,39,0,0,0
matplotlib__matplotlib-25960,matplotlib/matplotlib,1,0,5,546,4259.749421596527,44,0,1,0
matplotlib__matplotlib-26113,matplotlib/matplotlib,1,4,7,394,2576.85662651062,2,0,0,13
matplotlib__matplotlib-26208,matplotlib/matplotlib,0,0,1,559,3440.5537078380585,7,0,2,13
matplotlib__matplotlib-26291,matplotlib/matplotlib,1,4,7,514,3081.556651830673,12,0,0,0
matplotlib__matplotlib-26342,matplotlib/matplotlib,1,4,7,436,2120.6424655914307,4,0,0,2
matplotlib__matplotlib-26466,matplotlib/matplotlib,0,0,0,414,2294.0083680152893,2,0,1,0
mwaskom__seaborn-3069,mwaskom/seaborn,1,1,6,1208,7963.106989860535,50,2,0,0
mwaskom__seaborn-3187,mwaskom/seaborn,0,0,1,518,2385.491940259933,3,0,2,0
pallets__flask-5014,pallets/flask,1,4,7,348,1444.368848323822,3,0,0,0
psf__requests-1142,psf/requests,1,2,3,484,2399.3416142463684,42,0,0,0
psf__requests-1724,psf/requests,1,4,2,436,2384.5212802886963,2,0,0,3
psf__requests-1766,psf/requests,1,4,4,348,1871.6048202514648,2,0,0,2
psf__requests-1921,psf/requests,1,3,3,399,2049.0516855716705,2,0,0,3
psf__requests-2317,psf/requests,1,3,2,550,2802.235424518585,17,0,0,5
psf__requests-2931,psf/requests,1,4,4,422,1877.641079425812,5,0,0,4
psf__requests-5414,psf/requests,1,3,7,437,2464.794894933701,4,0,0,3
psf__requests-6028,psf/requests,1,0,4,538,2307.6810178756714,22,0,0,4
pydata__xarray-2905,pydata/xarray,1,4,7,456,3315.521878004074,3,0,0,0
pydata__xarray-3095,pydata/xarray,1,4,7,498,2578.049449682236,2,0,0,0
pydata__xarray-3151,pydata/xarray,1,4,7,386,2594.956624269485,2,0,0,0
pydata__xarray-3305,pydata/xarray,1,4,7,412,2524.474243402481,7,0,0,0
pydata__xarray-3677,pydata/xarray,1,4,7,862,5647.102016448975,66,3,0,0
pydata__xarray-3993,pydata/xarray,1,2,6,428,2376.1446039676666,19,0,2,0
pydata__xarray-4075,pydata/xarray,1,4,7,406,2795.801830768585,5,0,0,0
pydata__xarray-4094,pydata/xarray,1,4,7,462,3052.269031763077,8,0,0,0
pydata__xarray-4356,pydata/xarray,1,4,7,868,5551.992594718933,10,2,0,0
pydata__xarray-4629,pydata/xarray,1,4,7,380,2318.9555826187134,2,0,0,0
pydata__xarray-4687,pydata/xarray,0,1,3,715,4016.125755548477,30,0,1,11
pydata__xarray-4695,pydata/xarray,1,1,7,1046,6026.741267204285,35,2,0,0
pydata__xarray-4966,pydata/xarray,1,4,7,707,5364.007689714432,8,2,0,0
pydata__xarray-6461,pydata/xarray,1,4,7,448,2407.99577665329,2,0,0,0
pydata__xarray-6599,pydata/xarray,0,1,1,663,5454.800942897797,13,0,0,0
pydata__xarray-6721,pydata/xarray,1,2,7,727,4373.999984741211,28,0,1,0
pydata__xarray-6744,pydata/xarray,1,2,7,542,4348.308707237244,26,0,0,0
pydata__xarray-6938,pydata/xarray,1,0,3,436,2833.5766682624817,2,0,0,0
pydata__xarray-6992,pydata/xarray,0,0,0,456,2581.9275121688843,2,0,12,0
pydata__xarray-7229,pydata/xarray,0,0,0,526,2886.277114868164,2,0,1,0
pydata__xarray-7233,pydata/xarray,1,4,7,366,2042.2661068439484,2,0,0,0
pydata__xarray-7393,pydata/xarray,1,3,7,435,2459.2437682151794,2,0,0,0
pylint-dev__pylint-4551,pylint-dev/pylint,0,0,0,560,3311.6451325416565,64,0,10,0
pylint-dev__pylint-4604,pylint-dev/pylint,0,0,0,582,2866.464230775833,35,0,21,0
pylint-dev__pylint-4661,pylint-dev/pylint,0,0,0,390,2577.4442257881165,8,0,1,0
pylint-dev__pylint-4970,pylint-dev/pylint,0,0,3,520,2703.58514213562,6,0,1,0
pylint-dev__pylint-6386,pylint-dev/pylint,1,0,7,513,2933.4824833869934,6,0,0,0
pylint-dev__pylint-6528,pylint-dev/pylint,0,2,7,771,4268.10413146019,50,0,0,0
pylint-dev__pylint-6903,pylint-dev/pylint,1,4,7,743,4579.313889026642,5,2,0,0
pylint-dev__pylint-7080,pylint-dev/pylint,1,0,0,776,3976.145574331284,51,0,0,0
pylint-dev__pylint-7277,pylint-dev/pylint,0,4,7,402,2060.1742832660675,3,0,0,0
pylint-dev__pylint-8898,pylint-dev/pylint,0,0,1,0,0.0,0,0,0,0
pytest-dev__pytest-10051,pytest-dev/pytest,1,2,6,455,6343.751400470734,1,0,0,0
pytest-dev__pytest-10081,pytest-dev/pytest,1,3,7,520,2787.8060948848724,2,0,0,0
pytest-dev__pytest-10356,pytest-dev/pytest,0,0,2,520,2757.5087454319,56,0,1,0
pytest-dev__pytest-5262,pytest-dev/pytest,1,4,7,396,2511.5561146736145,5,0,0,0
pytest-dev__pytest-5631,pytest-dev/pytest,1,3,7,857,7529.04657793045,2,3,0,0
pytest-dev__pytest-5787,pytest-dev/pytest,1,1,6,498,2608.866550207138,121,0,0,0
pytest-dev__pytest-5809,pytest-dev/pytest,1,4,7,398,3016.892127275467,5,0,0,0
pytest-dev__pytest-5840,pytest-dev/pytest,0,0,0,458,2300.277546644211,2,0,2,0
pytest-dev__pytest-6197,pytest-dev/pytest,1,2,5,658,5822.540564775467,9,0,0,0
pytest-dev__pytest-6202,pytest-dev/pytest,1,4,7,436,1642.97727060318,2,0,0,0
pytest-dev__pytest-7205,pytest-dev/pytest,0,4,4,520,2496.461606025696,2,0,9,0
pytest-dev__pytest-7236,pytest-dev/pytest,1,3,7,467,3098.2956659793854,3,0,0,0
pytest-dev__pytest-7324,pytest-dev/pytest,1,2,7,696,4709.4161920547485,19,2,0,0
pytest-dev__pytest-7432,pytest-dev/pytest,1,3,7,971,5542.480471611023,2,6,0,0
pytest-dev__pytest-7490,pytest-dev/pytest,1,1,6,416,2431.9161746501923,3,0,0,0
pytest-dev__pytest-7521,pytest-dev/pytest,1,4,7,384,2288.559928417206,1,0,0,0
pytest-dev__pytest-7571,pytest-dev/pytest,1,4,7,424,2179.323239564896,2,0,0,0
pytest-dev__pytest-7982,pytest-dev/pytest,1,4,7,404,2125.4835963249207,2,0,0,0
pytest-dev__pytest-8399,pytest-dev/pytest,1,4,7,464,2469.57314658165,6,0,0,0
scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,1,4,7,624,2538.623320102692,5,1,1,0
